Wavelength,Ave Power
1527.60 ,-33.99999999999999
1527.99 ,-32.97142857142857
1528.38 ,-32.77777777777778
1528.77 ,-32.55555555555556
1529.16 ,-32.08571428571429
1529.55 ,-31.946666666666662
1529.94 ,-31.271428571428572
1530.33 ,-32.01333333333333
1530.72 ,-32.4
1531.12 ,-33.02222222222222
1531.51 ,-32.96923076923077
1531.90 ,-32.23076923076923
1532.29 ,-31.46923076923077
1532.68 ,-31.85
1533.07 ,-32.68181818181819
1533.47 ,-33.369230769230775
1533.86 ,-33.473333333333336
1534.25 ,-32.885714285714286
1534.64 ,-32.644444444444446
1535.04 ,-32.88461538461539
1535.43 ,-32.74444444444444
1535.82 ,-32.53846153846153
1536.22 ,-32.20769230769231
1536.61 ,-31.849999999999998
1537.00 ,-32.574999999999996
1537.40 ,-33.457142857142856
1537.79 ,-33.375
1538.19 ,-31.90833333333333
1538.58 ,-30.542857142857144
1538.98 ,-31.22
1539.37 ,-32.74615384615385
1539.77 ,-33.3
1540.16 ,-33.150000000000006
1540.56 ,-31.86666666666667
1540.95 ,-30.628571428571426
1541.35 ,-31.0125
1541.75 ,-32.39230769230769
1542.14 ,-33.11818181818182
1542.54 ,-33.292857142857144
1542.94 ,-32.43076923076923
1543.33 ,-31.68
1543.73 ,-31.900000000000002
1544.13 ,-32.154545454545456
1544.53 ,-31.959999999999997
1544.92 ,-31.54166666666667
1545.32 ,-31.82
1545.72 ,-32.76923076923077
1546.12 ,-33.223076923076924
1546.52 ,-33.15
1546.92 ,-31.92
1547.32 ,-30.7076923076923
1547.72 ,-31.399999999999995
1548.11 ,-33.43571428571428
1548.51 ,-34.111111111111114
1548.91 ,-33.519999999999996
1549.32 ,-32.175000000000004
1549.72 ,-31.062499999999996
1550.12 ,-31.255555555555556
1550.52 ,-32.823076923076925
1550.92 ,-33.855555555555554
1551.32 ,-34.34444444444445
1551.72 ,-33.2
1552.12 ,-32.215384615384615
1552.52 ,-32.275
1552.93 ,-32.133333333333326
1553.33 ,-32.25
1553.73 ,-32.05
1554.13 ,-32.233333333333334
1554.54 ,-32.846153846153854
1554.94 ,-33.0
1555.34 ,-31.988888888888887
1555.75 ,-30.83076923076923
1556.15 ,-30.41111111111111
1556.55 ,-30.96666666666667
1556.96 ,-32.792307692307695
1557.36 ,-33.611111111111114
1557.77 ,-32.64
1558.17 ,-31.123076923076926
1558.58 ,-30.4
1558.98 ,-30.435714285714283
1559.39 ,-31.75714285714286
1559.79 ,-32.51111111111111
1560.20 ,-32.67692307692308
1560.61 ,-32.5
1561.01 ,-31.75
1561.42 ,-31.37692307692307
1561.83 ,-31.349999999999994
1562.23 ,-30.85
1562.64 ,-31.050000000000004
1563.05 ,-31.763636363636362
1563.45 ,-32.77142857142858
1563.86 ,-33.407692307692315
1564.27 ,-31.888888888888896
1564.68 ,-30.46428571428571
1565.09 ,-30.0
1565.50 ,-30.407692307692308
1565.90 ,-31.793333333333333
1566.31 ,-33.371428571428574
1566.72 ,-32.8
